Linea: 265, Codigo: 01, Fecha: 2016/03/11, tipo: 0420, Hora: 08:39:42:263 
Linea: 266, Codigo: 01, Fecha: 2016/03/11, tipo: 0430, Hora: 08:39:43:011 
Linea: 267, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:40:10:031 
Linea: 268, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:40:10:764  Respuesta del Core: 00
Linea: 269, Codigo: 01, Fecha: 2016/03/11, tipo: 0420, Hora: 08:40:11:996 
Linea: 270, Codigo: 01, Fecha: 2016/03/11, tipo: 0430, Hora: 08:40:12:714 
Linea: 271, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:40:32:604 
Linea: 272, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:40:33:368  Respuesta del Core: 00
Linea: 273, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:40:37:471 
Linea: 274, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:40:38:594  Respuesta del Core: 00
Linea: 275, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:41:25:160 
Linea: 276, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:41:25:878  Respuesta del Core: 00
Linea: 280, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:41:55:050 
Linea: 281, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:41:55:814  Respuesta del Core: 00
Linea: 286, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:43:26:310 
Linea: 287, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:43:27:184  Respuesta del Core: 00
Linea: 298, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:48:18:374 
Linea: 299, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:48:19:263  Respuesta del Core: 00
Linea: 308, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:54:12:822 
Linea: 309, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:54:13:524  Respuesta del Core: 00
Linea: 310, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:54:35:692 
Linea: 311, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:54:36:363  Respuesta del Core: 00
Linea: 318, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:01:26:986 
Linea: 319, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:01:27:907  Respuesta del Core: 00
Linea: 329, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:08:04:772 
Linea: 330, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:08:05:536  Respuesta del Core: 00
Linea: 335, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:14:08:393 
Linea: 336, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:14:09:235  Respuesta del Core: 00
Linea: 338, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:14:44:179 
Linea: 339, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:14:44:959  Respuesta del Core: 00
Linea: 348, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:18:23:172 
Linea: 349, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:18:23:859  Respuesta del Core: 00
Linea: 350, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:18:34:108 
Linea: 351, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:18:34:638  Respuesta del Core: 00
Linea: 352, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:19:45:135 
Linea: 353, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:19:46:008  Respuesta del Core: 00
Linea: 354, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:20:19:455 
Linea: 355, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:20:20:188  Respuesta del Core: 00
Linea: 356, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:20:58:252 
Linea: 357, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:20:58:798  Respuesta del Core: 00
Linea: 360, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:23:29:463 
Linea: 361, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:23:30:274  Respuesta del Core: 00
Linea: 374, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:29:39:246 
Linea: 375, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:29:40:011  Respuesta del Core: 00
Linea: 380, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:35:36:783 
Linea: 381, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:35:37:672  Respuesta del Core: 00
Linea: 382, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:36:15:175 
Linea: 383, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:36:15:830  Respuesta del Core: 00
Linea: 384, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:36:22:772 
Linea: 385, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:36:23:505  Respuesta del Core: 00
Linea: 390, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:37:35:484 
Linea: 391, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:37:36:311  Respuesta del Core: 00
Linea: 392, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:38:10:834 
Linea: 393, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:38:11:473  Respuesta del Core: 00
Linea: 394, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:38:50:224 
Linea: 395, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:38:50:863  Respuesta del Core: 00
Linea: 402, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:42:43:335 
Linea: 403, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:42:44:286  Respuesta del Core: 00
Linea: 406, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:48:09:890 
Linea: 407, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:48:10:701  Respuesta del Core: 00
Linea: 408, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:48:44:678 
Linea: 409, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:48:45:302  Respuesta del Core: 00
Linea: 422, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:52:14:935 
Linea: 423, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:52:15:715  Respuesta del Core: 00
Linea: 424, Codigo: 01, Fecha: 2016/03/11, tipo: 0420, Hora: 09:52:49:474 
Linea: 425, Codigo: 01, Fecha: 2016/03/11, tipo: 0430, Hora: 09:52:50:285 
Linea: 430, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:56:26:798 
Linea: 431, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:56:27:547  Respuesta del Core: 00
Linea: 442, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 09:58:07:995 
Linea: 443, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 09:58:08:853  Respuesta del Core: 00
Linea: 446, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:00:42:545 
Linea: 447, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:00:43:450  Respuesta del Core: 00
Linea: 474, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:13:45:853 
Linea: 475, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:13:46:820  Respuesta del Core: 00
Linea: 476, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:15:05:039 
Linea: 477, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:15:05:398  Respuesta del Core: 51
Linea: 480, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:15:16:661 
Linea: 481, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:15:16:801  Respuesta del Core: 51
Linea: 482, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:15:28:470 
Linea: 483, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:15:28:642  Respuesta del Core: 51
Linea: 514, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:26:26:074 
Linea: 515, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:26:26:963  Respuesta del Core: 00
Linea: 518, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:27:03:670 
Linea: 519, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:27:04:419  Respuesta del Core: 00
Linea: 534, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:31:27:810 
Linea: 535, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:31:28:605  Respuesta del Core: 00
Linea: 557, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:41:00:970 
Linea: 558, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:41:01:828  Respuesta del Core: 00
Linea: 565, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:45:34:517 
Linea: 566, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:45:35:328  Respuesta del Core: 00
Linea: 567, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:46:00:459 
Linea: 568, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:46:01:177  Respuesta del Core: 00
Linea: 569, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:47:28:147 
Linea: 570, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:47:29:099  Respuesta del Core: 00
Linea: 571, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:47:53:762 
Linea: 572, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:47:54:496  Respuesta del Core: 00
Linea: 575, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:48:45:087 
Linea: 576, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:48:46:054  Respuesta del Core: 00
Linea: 577, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:51:03:006 
Linea: 578, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:51:03:880  Respuesta del Core: 00
Linea: 579, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:51:09:309 
Linea: 580, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:51:09:917  Respuesta del Core: 00
Linea: 581, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:51:24:846 
Linea: 582, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:51:25:377  Respuesta del Core: 00
Linea: 595, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 10:54:03:249 
Linea: 596, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 10:54:03:982  Respuesta del Core: 00
Linea: 611, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:03:52:415 
Linea: 612, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:03:53:211  Respuesta del Core: 00
Linea: 621, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:06:22:378 
Linea: 622, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:06:23:174  Respuesta del Core: 00
Linea: 633, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:08:46:445 
Linea: 634, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:08:47:240  Respuesta del Core: 00
Linea: 635, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:09:27:941 
Linea: 636, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:09:28:721  Respuesta del Core: 00
Linea: 646, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:16:08:003 
Linea: 647, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:16:08:799  Respuesta del Core: 00
Linea: 650, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:16:12:169 
Linea: 651, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:16:12:715  Respuesta del Core: 00
Linea: 652, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:16:40:296 
Linea: 653, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:16:40:998  Respuesta del Core: 00
Linea: 658, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:20:09:695 
Linea: 659, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:20:10:896  Respuesta del Core: 00
Linea: 666, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:21:13:670 
Linea: 667, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:21:14:513  Respuesta del Core: 00
Linea: 674, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:22:44:915 
Linea: 675, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:22:46:054  Respuesta del Core: 00
Linea: 676, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 11:24:09:732 
Linea: 677, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 11:24:10:372  Respuesta del Core: 00
